"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"negative regulation of apoptotic signaling pathway (GO:2001234)","24/78",0.0151820494684649,0.164302818047986,0,0,1.78921403744814,7.49258696460017,"RB1;PSMD10;SLC35F6;DDX3X;GPX1;HGF;RTKN2;CFLAR;IGF1;THBS1;RELA;HERPUD1;LGALS3;PINK1;PSME3;PPIF;BCL2;BIRC6;ITGA6;PHIP;TMBIM6;TMEM14A;BCL2L2;MCL1"
"protein localization to plasma membrane (GO:0072659)","38/136",0.0152017669199858,0.164302818047986,0,0,1.56221131490571,6.53995336054601,"RAB3B;SPTBN4;PLEKHF1;RAMP3;ROCK1;ROCK2;RAB3D;ZDHHC23;ZDHHC2;ZDHHC3;TSPAN32;LRP6;NKD2;IKBKB;EPB41L3;FCHO2;INPP5K;PIP5K1A;FLOT2;FLNA;TMEM150A;KCNB2;ANK2;EMP2;ATP1B1;EFR3B;EHD1;CACNB2;EHD3;EHD4;GORASP1;SLMAP;MYADM;PKP2;ITGB1BP1;TNIK;FGF13;GAS6"
"regulation of cell-cell adhesion (GO:0022407)","15/43",0.0158295681472036,0.170086705061247,0,0,2.15526230628169,8.93544959282006,"MAGI1;JAG1;CITED2;SPINT2;ZDHHC2;FUT4;GTPBP4;FSTL3;PTPRG;DPP4;FLOT2;NF2;MDGA1;ADA;EPHB3"
"cellular response to glucocorticoid stimulus (GO:0071385)","8/18",0.0159503938940348,0.170086705061247,0,0,3.2164824120603,13.3106783146927,"ZFP36;ANXA1;BCL2L11;KLF9;FAM107A;NR3C1;ZFP36L2;ZFP36L1"
"negative regulation of Rho protein signal transduction (GO:0035024)","8/18",0.0159503938940348,0.170086705061247,0,0,3.2164824120603,13.3106783146927,"KANK1;ITGA3;KCTD10;HEG1;ABL2;TNFAIP1;MET;SCAI"
"positive chemotaxis (GO:0050918)","8/18",0.0159503938940348,0.170086705061247,0,0,3.2164824120603,13.3106783146927,"SEMA5A;LGALS3;ANGPT1;GPNMB;PTPRJ;MET;VEGFA;FGF10"
"positive regulation of amyloid-beta formation (GO:1902004)","8/18",0.0159503938940348,0.170086705061247,0,0,3.2164824120603,13.3106783146927,"EPHA4;IFNGR1;ROCK2;SLC2A13;CASP3;GSAP;RELA;PICALM"
"regulation of fatty acid metabolic process (GO:0019217)","8/18",0.0159503938940348,0.170086705061247,0,0,3.2164824120603,13.3106783146927,"FABP3;CAV1;PDK4;PRKAG2;PPARG;ADIPOR1;PPARA;ADIPOR2"
"regulation of protein-containing complex disassembly (GO:0043244)","8/18",0.0159503938940348,0.170086705061247,0,0,3.2164824120603,13.3106783146927,"GLE1;UPF1;INSR;GBA;IRAK3;ETF1;GSPT1;IGF1R"
"skeletal system development (GO:0001501)","43/158",0.0164162917367627,0.171201059353743,0,0,1.5067416101835,6.19192607721326,"PKDCC;NPR3;CHD7;STC1;TNFRSF11B;HAPLN3;PCSK5;PKD1;HAPLN1;PHEX;PAPSS2;GLI2;AKAP13;FRZB;SUFU;CREB3L2;SH3PXD2B;ITGB8;SOX9;ATP7A;SOX4;SOX5;TGM2;TRAPPC2;TEAD4;GDF10;GDF11;TGFB2;ZBTB16;WNT5A;IGF1;SULF1;BMP6;TBX3;SULF2;KIAA1217;COL1A1;EXT1;VCAN;COL1A2;COL9A2;BMPR1B;FGFR2"
