"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Viral protein interaction with cytokine and cytokine receptor","15/100",0.917895721107155,0.999995392442758,0,0,0.707436964214329,0.0606071776586161,"CCR1;CCL11;CSF1;IL34;TNFRSF10C;TNFRSF10B;TNFRSF1B;CXCL12;CCL8;CCL7;TNFSF10;ACKR4;TNFRSF14;LTBR;IL6R"
"Homologous recombination","5/41",0.932593783605311,0.999995392442758,0,0,0.557089854102156,0.0388768276005703,"MUS81;POLD4;RAD51;BRCA1;NBN"
"Neutrophil extracellular trap formation","30/189",0.936148544519709,0.999995392442758,0,0,0.755718058481985,0.0498631191315171,"HDAC5;HDAC2;PIK3R3;PIK3CD;PIK3R1;CLCN3;HDAC9;ACTB;RELA;ACTG1;HDAC7;AKT3;PLCG2;CASP1;RAC1;MAPK3;MAP2K1;CYBA;MAPK14;MTOR;MAPK11;PLCB4;CLCN4;FCGR2A;PIK3CA;PPIF;VDAC2;RAF1;PLCB1;SLC25A4"
"RNA degradation","11/79",0.936251388858142,0.999995392442758,0,0,0.64852312561937,0.0427190358940092,"ZCCHC7;BTG2;BTG1;EXOSC10;DIS3;EXOSC9;LSM1;NUDT16;TOB2;CNOT8;DCP1B"
"Huntington disease","51/306",0.937802745721463,0.999995392442758,0,0,0.800457200914402,0.0514018750500103,"HIP1;CLTB;AP2A1;DNALI1;BBC3;PSMD8;TUBA1C;TUBA1B;PSMD7;TUBA1A;CREB3L1;KIF5B;CASP3;CREB3L2;MAP3K5;TGM2;GPX1;GPX3;TUBB;GPX8;WIPI1;WIPI2;TUBA4A;PSMA5;PLCB4;CREB1;UQCRC1;PPIF;ULK2;VDAC2;PPARG;PIK3C3;PLCB1;TP53;SLC25A4;CREB5;GRIA1;DCTN6;HDAC2;DNAH7;ITPR1;COX7A1;PSMA7;CLTCL1;GRIA3;SOD2;MTOR;MAPK10;PSMC5;DLG4;GNAQ"
"Type I diabetes mellitus","5/43",0.948635895624749,0.999995392442758,0,0,0.527703265192859,0.0278259122347127,"HLA-B;CPE;IL12A;HLA-A;HLA-E"
"Parkinson disease","40/249",0.950409251633534,0.999995392442758,0,0,0.766083487248101,0.0389649948821821,"CAMK2D;MAOB;UBA7;MAOA;LRRK2;CAMK2A;ITPR1;ITPR2;COX7A1;GNAI1;PSMA7;UBE2J1;PSMD8;TUBA1C;TUBA1B;PSMD7;TUBA1A;UBB;KIF5B;CASP3;PRKACB;MAP3K5;GPR37;DUSP1;TUBB;SNCAIP;TUBA4A;PSMA5;MAPK10;PSMC5;PINK1;DDIT3;UQCRC1;PPIF;VDAC2;MAPT;CALM1;TP53;SLC25A4;ATF4"
"Citrate cycle (TCA cycle)","3/30",0.955219944421739,0.999995392442758,0,0,0.445699149588736,0.0204191078411147,"FH;IDH2;DLAT"
"Primary immunodeficiency","4/38",0.960723569791513,0.999995392442758,0,0,0.471828490432318,0.0189054881269768,"CD40;RFX5;BLNK;ADA"
"Basal transcription factors","5/45",0.961132608197245,0.999995392442758,0,0,0.501255335174492,0.0198712099799688,"CDK7;TAF9;GTF2H1;GTF2F2;TAF5L"
"Coronavirus disease","36/232",0.965524139517263,0.999995392442758,0,0,0.735065686193506,0.0257891734184561,"C1R;PIK3R3;PIK3CD;PIK3R1;EGFR;RELA;C2;C4B;IFIH1;IKBKB;C4A;C6;C7;PLCG2;CASP1;IL12A;IL6R;MAPK3;JUN;CHUK;STAT1;STAT3;MX1;MAPK14;NFKBIA;MAPK10;MAPK11;ADAM17;MAVS;FCGR2A;PIK3CA;TRAF3;OAS3;MASP1;TLR3;NFKBIB"
"mRNA surveillance pathway","13/98",0.968084094345625,0.999995392442758,0,0,0.612803551609323,0.019877092804877,"UPF1;PPP2R3A;GSPT1;SMG5;SMG6;PPP1CA;GLE1;PPP1CB;PPP2CB;ACIN1;RNPS1;ETF1;TARDBP"
"Nicotine addiction","4/40",0.971076087808438,0.999995392442758,0,0,0.445560017849174,0.013077388587551,"GRIA1;GRIN2A;GABRE;GRIA3"
"Cytosolic DNA-sensing pathway","7/63",0.978761572271451,0.999995392442758,0,0,0.501004772670183,0.0107551737770022,"IKBKB;NFKBIA;MAVS;CHUK;CASP1;RELA;NFKBIB"
"Porphyrin and chlorophyll metabolism","4/43",0.981925666435353,0.999995392442758,0,0,0.411208938317372,0.00750031516617531,"ALAS1;HEPH;MMAB;HMOX1"
"Phototransduction","2/28",0.984297888678971,0.999995392442758,0,0,0.308502836852059,0.00488258041246919,"GUCY2D;CALM1"
"Glycosaminoglycan degradation","1/19",0.985410922148209,0.999995392442758,0,0,0.222863194270267,0.00327531895440365,"HPSE"
"Steroid hormone biosynthesis","6/61",0.989311210135861,0.999995392442758,0,0,0.437158120633761,0.00469784338739299,"HSD11B1;HSD11B2;AKR1C3;HSD17B6;CYP19A1;CYP3A7"
"Asthma","2/31",0.991194146737836,0.999995392442758,0,0,0.276536844472897,0.00244592799087296,"CD40;CCL11"
"Taste transduction","9/86",0.993852434825289,0.999995392442758,0,0,0.468090592493709,0.00288649901416629,"PLCB4;PDE1A;ADCY4;CACNA1C;PLCB1;ADCY8;ASIC2;SCN2A;PRKACB"
"Graft-versus-host disease","3/42",0.994338189250295,0.999995392442758,0,0,0.308329311842486,0.00175066286305308,"HLA-B;HLA-A;HLA-E"
"RNA transport","24/186",0.995647784676384,0.999995392442758,0,0,0.592368352206899,0.00258374120602158,"CYFIP2;UPF1;NUP205;SEH1L;NUP188;EIF1AX;THOC2;RANGAP1;GLE1;NUP93;FXR2;XPOT;CLNS1A;NUP50;NUP62;EIF4EBP2;STRAP;ACIN1;RNPS1;NUP98;EIF4E2;TARDBP;KPNB1;EIF3A"
"Autoimmune thyroid disease","4/53",0.996518508976618,0.999995392442758,0,0,0.327083845586427,0.00114072634077798,"CD40;HLA-B;HLA-A;HLA-E"
"Maturity onset diabetes of the young","1/26",0.996928335139262,0.999995392442758,0,0,0.160391271632807,0.000493426441933832,"NKX6-1"
"Hematopoietic cell lineage","10/99",0.997262079515291,0.999995392442758,0,0,0.449748899848041,0.00123306551486798,"CSF1;ITGA4;ITGA3;ANPEP;ITGA2;ITGA1;CD9;CD37;ITGA6;IL6R"
"Systemic lupus erythematosus","13/135",0.999626995873139,0.999995392442758,0,0,0.425961439323642,0.000158915014572511,"CD40;SSB;C1R;ACTN1;ACTN4;C2;C4B;C4A;GRIN2A;C6;FCGR2A;C7;SNRPB"
"Spliceosome","15/150",0.999670705927316,0.999995392442758,0,0,0.444024946164387,0.000146238862012857,"HSPA8;HSPA6;THOC2;HSPA2;USP39;HNRNPM;RBMXL1;SNRNP70;TRA2A;DHX16;ACIN1;SMNDC1;RBMX;SNRPA;SNRPB"
"Oxidative phosphorylation","12/133",0.999815593384936,0.999995392442758,0,0,0.396369955268803,7.30999820315821e-05,"ATP6V1A;ATP6V0B;ATP6V0E1;PPA1;UQCRC1;ATP6V0A2;COX11;TCIRG1;ATP6V1E1;ATP6V0D1;COX7A1;ATP6V0A1"
"Staphylococcus aureus infection","7/95",0.99981559851422,0.999995392442758,0,0,0.318181818181818,5.86786103986084e-05,"C4B;C4A;FCGR2A;CFH;C1R;MASP1;C2"
"Herpes simplex virus 1 infection","67/498",0.999944049236041,0.999995392442758,0,0,0.617726194428122,3.45632194239058e-05,"ZNF250;ZNF43;PIK3CD;ZNF45;IFIH1;IKBKB;PPP1CB;ZNF528;ZNF84;CASP3;AKT3;ZNF85;ZNF766;IL12A;ZNF248;JAK2;ZNF841;ZNF561;CHUK;ZFP1;IFNGR1;HLA-B;ZNF10;HLA-A;TICAM1;ZFP90;HLA-E;PIK3CA;TRAF3;OAS3;ZNF436;ZNF510;TP53;ZNF630;TLR3;ZNF233;ZNF596;ZNF793;ZNF154;ZNF275;PIK3R3;PIK3R1;ZNF3;RELA;ZFP14;TNFRSF14;ZNF667;ZNF226;ZNF589;ZNF286A;ZNF540;ZNF184;STAT1;PTPN11;ZNF79;POU2F2;MTOR;PPP1CA;NFKBIA;MAVS;RHEB;ZNF30;ZNF74;BCL2;ZNF658;ZNF135;ZNF211"
"Ribosome biogenesis in eukaryotes","7/108",0.999974958164977,0.999995392442758,0,0,0.27700140021538,6.93671021959523e-06,"RBM28;WDR36;REXO1;NVL;SBDS;GNL2;GTPBP4"
"Aminoacyl-tRNA biosynthesis","2/66",0.99998937044258,0.999995392442758,0,0,0.125031359759157,1.32903508134983e-06,"AARS2;CARS2"
"Neuroactive ligand-receptor interaction","36/341",0.999993303677532,0.999995392442758,0,0,0.469114621357935,3.14135329671703e-06,"CHRM2;GRIA1;PTGFR;OXTR;THRB;GRIK5;LPAR1;GRIK4;ADM;GRIK1;HTR2A;NR3C1;ADRA1B;RXFP1;MCHR1;EDNRA;GRIN2A;HRH1;EDNRB;CCKAR;TBXA2R;ADORA1;BDKRB2;S1PR1;BDKRB1;GABRE;GRIA3;P2RY14;CCK;AGT;ADRA2A;P2RX7;P2RX6;LEP;GNRH1;F2RL2"
"Olfactory transduction","10/440",0.999993808790451,0.999995392442758,0,0,0.0910940404784454,5.6398403916391e-07,"CAMK2D;GUCY2D;PDE1A;CAMK2A;ADCY3;PRKG2;CALM1;PRKACB;SLC8A1;PRKG1"
"Ribosome","2/158",0.999995392442758,0.999995392442758,0,0,0.0509990093532492,2.34981396224116e-07,"MRPL14;MRPL15"
