"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
997.439773207048,4.57491904614571,0.18405629014442,24.8560863774663,2.22231970363025e-136,3.72949692663229e-132,"ENSG00000152583"
495.092906698546,3.29106191054142,0.133173711500664,24.7125492971262,7.83975707169113e-135,6.57834015885603e-131,"ENSG00000165995"
3409.02937530956,2.94781003454558,0.121437718987388,24.2742539890076,3.66731992961347e-130,2.05149876862578e-126,"ENSG00000120129"
12703.3870621821,3.76699574226074,0.155437961822031,24.2347216735495,9.58233785980007e-130,4.02026984907912e-126,"ENSG00000101347"
2341.76725275591,3.3535801702967,0.14178245425994,23.6529984461148,1.09937071871083e-123,3.68992788028104e-120,"ENSG00000189221"
12285.6151498691,3.73040303801649,0.165830587883938,22.4952651113276,4.6181377035723e-112,1.29169311568917e-108,"ENSG00000211445"
3009.26322295794,1.97677261163409,0.0899822996121697,21.96846068787,5.76907556550309e-107,1.38309465914676e-103,"ENSG00000157214"
5393.10168349223,2.0356650249431,0.094182296655514,21.6140941262969,1.32374646946239e-103,2.77688915631472e-100,"ENSG00000162614"
3656.252782247,2.21097868219075,0.105640771126772,20.9292175606851,2.90221027953763e-97,5.41165476791116e-94,"ENSG00000125148"
30315.1354711078,2.34560388064653,0.115808046212772,20.2542392981659,3.25945584928201e-91,5.47001880626507e-88,"ENSG00000154734"
1223.46614081102,2.22890310548595,0.11283943455511,19.7528737561811,7.57804468021837e-87,1.15613405294023e-83,"ENSG00000139132"
1099.62586594636,1.89121710407642,0.0957796081013662,19.7455088986676,8.76771495524328e-87,1.22616493649077e-83,"ENSG00000162493"
5510.95825597916,2.19571178742314,0.112007655462646,19.6032296038497,1.45114988166835e-85,1.87332287031986e-82,"ENSG00000134243"
776.596665468835,3.19175014299749,0.163962984852635,19.4662846975257,2.12109133843542e-84,2.54258248868737e-81,"ENSG00000179094"
508.170232439755,-3.69266017614538,0.190185627169419,-19.4160843335229,5.64321511382162e-84,6.31362906934363e-81,"ENSG00000162692"
561.107166129071,4.45912861155244,0.234863750397,18.9860231901049,2.22558439607169e-80,2.3343598334297e-77,"ENSG00000163884"
2649.85014895882,-2.52817436865543,0.1344301160413,-18.8066070543205,6.66707120290067e-79,6.58157581923994e-76,"ENSG00000178695"
2057.19173059348,2.91843600896501,0.161296371439927,18.0936246916872,3.57763499215812e-73,3.33554835768876e-70,"ENSG00000198624"
25136.3075719089,-1.91166968412362,0.105748085620587,-18.0775819524761,4.78614978254117e-73,4.22742977108452e-70,"ENSG00000107562"
1365.17398590702,-1.81454304088636,0.100483689495171,-18.0580853470111,6.8145516584653e-73,5.71809029661824e-70,"ENSG00000148848"
313.689977800113,-2.7562425815189,0.154888334478024,-17.7950301474122,7.72258138369368e-71,6.17144575148321e-68,"ENSG00000146250"
884.745882993046,-1.75625634965653,0.0997092811829416,-17.6137700404663,1.93141688244543e-69,1.47331991459997e-66,"ENSG00000106976"
670.046703530433,1.89853003417199,0.108681023163917,17.4688273895669,2.47529910491694e-68,1.80610737298766e-65,"ENSG00000154930"
1216.6020649876,-2.18850401460561,0.125426845835392,-17.4484497320276,3.53702881624308e-68,2.47326739975797e-65,"ENSG00000163394"
1040.17649034906,1.98905895906338,0.114476734683002,17.3752244468826,1.27107995609524e-67,8.53250552927615e-65,"ENSG00000253368"
8565.70116426611,2.26026704773044,0.130784240006926,17.2824114557744,6.38229171156171e-67,4.11952382705495e-64,"ENSG00000163661"
1467.63582703992,1.51911814781552,0.087956538166484,17.2712362205541,7.74650966612579e-67,4.81488611914529e-64,"ENSG00000162616"
11193.718773887,1.44787391827002,0.0843415356133821,17.1667957873925,4.70696799393763e-66,2.82115488836647e-63,"ENSG00000148175"
1281.46865801595,-2.41198994043759,0.140805776963687,-17.1299075396574,8.87957189118505e-66,5.13851639578854e-63,"ENSG00000124766"
1969.04835631005,2.32109101851589,0.135754474074859,17.0977128697503,1.54343476700111e-65,8.63397408660419e-63,"ENSG00000197381"
8014.7816508389,1.74435766499676,0.103292003383652,16.887635130067,5.54827219038903e-64,3.00358399674544e-61,"ENSG00000172403"
3232.63543712134,2.42451323004811,0.144277318594045,16.8045348615744,2.26079022771414e-63,1.18564317504684e-60,"ENSG00000116285"
418.921476555884,3.44998591536111,0.208810126026999,16.522119788937,2.54300836382127e-61,1.29323534429238e-58,"ENSG00000163083"
7432.9363516342,2.18737341886594,0.134467854769708,16.2668871501822,1.69561364847791e-59,8.36934948492832e-57,"ENSG00000166741"
2128.11402480981,1.81552449348164,0.113376768983484,16.0131966165495,1.03360256157171e-57,4.95597662522755e-55,"ENSG00000070404"
333.214688163837,-3.04184014365038,0.191371491564759,-15.8949492360572,6.8684077211535e-57,3.20182273267772e-54,"ENSG00000105989"
943.340574231144,2.28887081128748,0.144873187648219,15.7991333554786,3.15423035183028e-56,1.43065658822745e-53,"ENSG00000122035"
5029.85142077092,1.92793705098774,0.122239397718624,15.7718140547906,4.86326325648163e-56,2.1477706307967e-53,"ENSG00000119139"
3701.52859767166,1.46583087674464,0.0931376077545768,15.7383350515851,8.25882261340739e-56,3.55383489995392e-53,"ENSG00000136478"
17178.4260430908,2.03064252817248,0.132700370169048,15.3024631776508,7.36168827146607e-53,3.08859631429359e-50,"ENSG00000196569"
100990.694351515,-1.30494632222013,0.0854759825437171,-15.266818624199,1.27230586891857e-52,5.20776514443693e-50,"ENSG00000108821"
847.493946021912,2.75315219067645,0.181860585093321,15.1388064063672,8.98292592803918e-52,3.58932054581794e-49,"ENSG00000221866"
2236.2383212374,1.85904624589458,0.122956008972471,15.1196046572299,1.20262431973535e-51,4.69359100786015e-49,"ENSG00000100242"
2018.16368824202,-1.23994356407928,0.0820420204473438,-15.1135181376366,1.31905100049991e-51,5.03098042963397e-49,"ENSG00000145685"
2737.98198594824,1.38754895875618,0.0918342344159951,15.1092777936253,1.40673056691933e-51,5.24616719423117e-49,"ENSG00000134686"
756.366829107728,-1.57290357012438,0.104277461287329,-15.0838306831268,2.06907799537718e-51,7.54853628661301e-49,"ENSG00000172986"
5397.33684521952,1.20138807296859,0.0798459415316722,15.046326086493,3.64946587067337e-51,1.30309226046044e-48,"ENSG00000102804"
363.762294004358,2.4273423349023,0.16171950365713,15.0095831362965,6.35458115500555e-51,2.22172043631882e-48,"ENSG00000060718"
530.060485021926,2.71827801541674,0.181277321987847,14.9951355503751,7.90012449150884e-51,2.70571202482656e-48,"ENSG00000099337"
449.17684817333,2.45871282502892,0.164437536236083,14.9522601792023,1.50551445319392e-50,5.05310871070006e-48,"ENSG00000126803"
